"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.169733375E0,-8.729854599E-4,-6.837556139E-4,7.649621111E-4,1.347142303E-3
2.179782375E0,6.633921294E-4,1.520808786E-3,-2.110864152E-4,1.672574649E-3
2.189831375E0,2.413113369E-3,-1.113518607E-3,1.498384867E-3,3.050933796E-3
2.199880375E0,1.730545191E-3,-6.882119924E-4,1.564164879E-3,2.432084327E-3
2.209929375E0,-8.790845750E-4,-5.671740510E-4,2.910510171E-3,3.092821616E-3
2.219978375E0,5.172107485E-4,2.288445830E-4,-3.744992136E-4,6.783262214E-4
2.230027375E0,-5.094931112E-4,-8.305814117E-5,1.364163123E-3,1.458568789E-3
2.240076375E0,-1.284472994E-3,2.489288803E-3,9.804017609E-4,2.967763001E-3
2.250125375E0,-6.045207847E-4,7.107392885E-4,-6.496140268E-4,1.136923084E-3
2.260174375E0,-1.114249812E-3,5.930275656E-4,1.954424893E-3,2.326587845E-3
2.270223375E0,7.861006889E-4,-1.273230650E-3,-1.052264008E-3,1.829297713E-3
2.280272375E0,1.165068476E-3,1.209345646E-4,2.185964840E-4,1.191551151E-3
2.290321375E0,3.166907118E-5,-2.059666440E-4,-1.068587531E-3,1.088716906E-3
2.300370375E0,-2.029351424E-3,1.430013217E-3,5.745828385E-4,2.548205338E-3
2.310419375E0,-5.475634243E-4,1.884811092E-3,-2.052718308E-3,2.840068839E-3
2.320468375E0,1.989206357E-4,5.143485032E-4,1.097683562E-4,5.622925343E-4
2.330517375E0,-1.812574046E-4,1.544732600E-3,-2.081640996E-3,2.598515401E-3
2.340566375E0,-9.759446839E-4,-1.764683984E-4,2.336809412E-3,2.538560093E-3
2.350615375E0,4.994547344E-4,1.106830779E-3,4.593783524E-5,1.215170643E-3
2.360664375E0,-6.947066286E-4,-3.070412204E-4,2.802960225E-4,8.096032800E-4
2.370713375E0,-7.313634851E-4,-2.167859115E-3,5.723108770E-4,2.358398912E-3
2.380762375E0,-4.666473251E-5,1.654841937E-3,-1.108143828E-3,1.992150139E-3
2.390811375E0,7.118472131E-4,-2.018049359E-3,2.927464433E-3,3.626196034E-3
2.400860375E0,-1.693519880E-3,2.299249172E-4,-2.624734771E-5,1.709258311E-3
2.410909375E0,-8.845981793E-4,1.565078739E-3,-1.044405159E-3,2.079126628E-3
2.420958375E0,6.128973328E-4,3.078007139E-4,2.181995660E-4,7.197190220E-4
2.431007375E0,-2.230803482E-3,6.674360484E-4,-1.075144624E-3,2.564739951E-3
2.441055375E0,1.000409946E-3,1.993689686E-3,-1.943601412E-3,2.958581598E-3
2.451104375E0,-1.981357054E-4,4.733940586E-4,6.197846960E-5,5.169149091E-4
2.461153375E0,1.346231438E-3,1.385793090E-3,5.778328050E-4,2.016594239E-3
2.471202375E0,1.239955891E-3,-2.087312751E-4,3.375860979E-4,1.301930770E-3
2.481251375E0,-5.622051540E-4,7.516047917E-4,-9.604386287E-4,1.342917256E-3
2.491300375E0,7.374857087E-4,1.383511815E-3,1.720144646E-3,2.327420829E-3
2.501349375E0,-6.111391122E-4,3.462103195E-4,2.045395086E-4,7.315661353E-4
2.511398375E0,-7.831257535E-4,1.323702745E-4,9.907477070E-4,1.269798746E-3
2.521447375E0,-1.373814768E-3,-1.304671634E-3,9.009991190E-4,2.097935772E-3
2.531496375E0,-2.224086784E-3,1.560967881E-3,-3.784121654E-4,2.743424596E-3
2.541545375E0,-1.537453791E-4,4.538916983E-4,-1.698274747E-3,1.764594127E-3
2.551594375E0,6.352080964E-4,1.717347652E-3,-1.064057695E-3,2.117779748E-3
2.561643375E0,-3.451014927E-4,-4.195729271E-4,3.045199905E-3,3.093279641E-3
